account_balance,atr_value,risk_pct,sl_atr_multiplier,lots,effective_atr,sl_distance,realised_risk_usd,realised_risk_pct,budget_usd,over_budget
500.0,60.0,0.005,1.5,0.01,60.0,90.0,90.0,0.18,2.5,True
500.0,60.0,0.005,3.0,0.01,60.0,180.0,180.0,0.36,2.5,True
500.0,60.0,0.005,10.0,0.01,60.0,600.0,600.0,1.2,2.5,True
500.0,60.0,0.02,1.0,0.01,60.0,60.0,60.0,0.12,10.0,True
500.0,60.0,0.02,1.5,0.01,60.0,90.0,90.0,0.18,10.0,True
500.0,60.0,0.02,3.0,0.01,60.0,180.0,180.0,0.36,10.0,True
500.0,60.0,0.02,10.0,0.01,60.0,600.0,600.0,1.2,10.0,True
500.0,60.0,0.05,1.0,0.01,60.0,60.0,60.0,0.12,25.0,True
500.0,60.0,0.05,1.5,0.01,60.0,90.0,90.0,0.18,25.0,True
500.0,60.0,0.05,3.0,0.01,60.0,180.0,180.0,0.36,25.0,True
500.0,60.0,0.05,10.0,0.01,60.0,600.0,600.0,1.2,25.0,True
3643.0,0.001,0.005,1.0,0.1,0.1,0.1,1.0,0.0002744990392533626,18.215,False
3643.0,0.001,0.005,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.000411748558880044,18.215,False
3643.0,0.001,0.005,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.000823497117760088,18.215,False
3643.0,0.001,0.005,10.0,0.1,0.1,1.0,10.0,0.002744990392533626,18.215,False
3643.0,0.001,0.02,1.0,0.1,0.1,0.1,1.0,0.0002744990392533626,72.86,False
3643.0,0.001,0.02,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.000411748558880044,72.86,False
3643.0,0.001,0.02,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.000823497117760088,72.86,False
3643.0,0.001,0.02,10.0,0.1,0.1,1.0,10.0,0.002744990392533626,72.86,False
3643.0,0.001,0.05,1.0,0.1,0.1,0.1,1.0,0.0002744990392533626,182.15,False
3643.0,0.001,0.05,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.000411748558880044,182.15,False
3643.0,0.001,0.05,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.000823497117760088,182.15,False
3643.0,0.001,0.05,10.0,0.1,0.1,1.0,10.0,0.002744990392533626,182.15,False
3643.0,0.05,0.005,1.0,0.1,0.1,0.1,1.0,0.0002744990392533626,18.215,False
3643.0,0.05,0.005,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.000411748558880044,18.215,False
3643.0,0.05,0.005,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.000823497117760088,18.215,False
3643.0,0.05,0.005,10.0,0.1,0.1,1.0,10.0,0.002744990392533626,18.215,False
3643.0,0.05,0.02,1.0,0.1,0.1,0.1,1.0,0.0002744990392533626,72.86,False
3643.0,0.05,0.02,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.000411748558880044,72.86,False
3643.0,0.05,0.02,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.000823497117760088,72.86,False
3643.0,0.05,0.02,10.0,0.1,0.1,1.0,10.0,0.002744990392533626,72.86,False
3643.0,0.05,0.05,1.0,0.1,0.1,0.1,1.0,0.0002744990392533626,182.15,False
3643.0,0.05,0.05,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.000411748558880044,182.15,False
3643.0,0.05,0.05,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.000823497117760088,182.15,False
3643.0,0.05,0.05,10.0,0.1,0.1,1.0,10.0,0.002744990392533626,182.15,False
3643.0,0.1,0.005,1.0,0.1,0.1,0.1,1.0,0.0002744990392533626,18.215,False
3643.0,0.1,0.005,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.000411748558880044,18.215,False
3643.0,0.1,0.005,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.000823497117760088,18.215,False
3643.0,0.1,0.005,10.0,0.1,0.1,1.0,10.0,0.002744990392533626,18.215,False
3643.0,0.1,0.02,1.0,0.1,0.1,0.1,1.0,0.0002744990392533626,72.86,False
3643.0,0.1,0.02,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.000411748558880044,72.86,False
3643.0,0.1,0.02,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.000823497117760088,72.86,False
3643.0,0.1,0.02,10.0,0.1,0.1,1.0,10.0,0.002744990392533626,72.86,False
3643.0,0.1,0.05,1.0,0.1,0.1,0.1,1.0,0.0002744990392533626,182.15,False
3643.0,0.1,0.05,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.000411748558880044,182.15,False
3643.0,0.1,0.05,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.000823497117760088,182.15,False
3643.0,0.1,0.05,10.0,0.1,0.1,1.0,10.0,0.002744990392533626,182.15,False
3643.0,0.5,0.005,1.0,0.1,0.5,0.5,5.0,0.001372495196266813,18.215,False
3643.0,0.5,0.005,1.5,0.1,0.5,0.75,7.5,0.0020587427944002198,18.215,False
3643.0,0.5,0.005,3.0,0.1,0.5,1.5,15.0,0.0041174855888004395,18.215,False
3643.0,0.5,0.005,10.0,0.03,0.5,5.0,15.0,0.0041174855888004395,18.215,False
3643.0,0.5,0.02,1.0,0.1,0.5,0.5,5.0,0.001372495196266813,72.86,False
3643.0,0.5,0.02,1.5,0.1,0.5,0.75,7.5,0.0020587427944002198,72.86,False
3643.0,0.5,0.02,3.0,0.1,0.5,1.5,15.0,0.0041174855888004395,72.86,False
3643.0,0.5,0.02,10.0,0.1,0.5,5.0,50.0,0.01372495196266813,72.86,False
3643.0,0.5,0.05,1.0,0.1,0.5,0.5,5.0,0.001372495196266813,182.15,False
3643.0,0.5,0.05,1.5,0.1,0.5,0.75,7.5,0.0020587427944002198,182.15,False
3643.0,0.5,0.05,3.0,0.1,0.5,1.5,15.0,0.0041174855888004395,182.15,False
3643.0,0.5,0.05,10.0,0.1,0.5,5.0,50.0,0.01372495196266813,182.15,False
3643.0,5.0,0.005,1.0,0.03,5.0,5.0,15.0,0.0041174855888004395,18.215,False
3643.0,5.0,0.005,1.5,0.02,5.0,7.5,15.0,0.0041174855888004395,18.215,False
3643.0,5.0,0.005,3.0,0.01,5.0,15.0,15.0,0.0041174855888004395,18.215,False
3643.0,5.0,0.005,10.0,0.01,5.0,50.0,50.0,0.01372495196266813,18.215,True
3643.0,5.0,0.02,1.0,0.1,5.0,5.0,50.0,0.01372495196266813,72.86,False
3643.0,5.0,0.02,1.5,0.09,5.0,7.5,67.5,0.018528685149601976,72.86,False
3643.0,5.0,0.02,3.0,0.04,5.0,15.0,60.0,0.016469942355201758,72.86,False
3643.0,5.0,0.02,10.0,0.01,5.0,50.0,50.0,0.01372495196266813,72.86,False
3643.0,5.0,0.05,1.0,0.1,5.0,5.0,50.0,0.01372495196266813,182.15,False
3643.0,5.0,0.05,1.5,0.1,5.0,7.5,75.0,0.020587427944002194,182.15,False
3643.0,5.0,0.05,3.0,0.1,5.0,15.0,150.0,0.04117485588800439,182.15,False
3643.0,5.0,0.05,10.0,0.03,5.0,50.0,150.0,0.04117485588800439,182.15,False
3643.0,14.0,0.005,1.0,0.01,14.0,14.0,14.0,0.0038429865495470767,18.215,False
3643.0,14.0,0.005,1.5,0.01,14.0,21.0,21.0,0.005764479824320615,18.215,True
3643.0,14.0,0.005,3.0,0.01,14.0,42.0,42.0,0.01152895964864123,18.215,True
3643.0,14.0,0.005,10.0,0.01,14.0,140.0,140.0,0.03842986549547077,18.215,True
3643.0,14.0,0.02,1.0,0.05,14.0,14.0,70.0,0.019214932747735385,72.86,False
3643.0,14.0,0.02,1.5,0.03,14.0,21.0,63.0,0.017293439472961844,72.86,False
3643.0,14.0,0.02,3.0,0.01,14.0,42.0,42.0,0.01152895964864123,72.86,False
3643.0,14.0,0.02,10.0,0.01,14.0,140.0,140.0,0.03842986549547077,72.86,True
3643.0,14.0,0.05,1.0,0.1,14.0,14.0,140.0,0.03842986549547077,182.15,False
3643.0,14.0,0.05,1.5,0.08,14.0,21.0,168.0,0.04611583859456492,182.15,False
3643.0,14.0,0.05,3.0,0.04,14.0,42.0,168.0,0.04611583859456492,182.15,False
3643.0,14.0,0.05,10.0,0.01,14.0,140.0,140.0,0.03842986549547077,182.15,False
3643.0,22.0,0.005,1.0,0.01,22.0,22.0,22.0,0.0060389788635739775,18.215,True
3643.0,22.0,0.005,1.5,0.01,22.0,33.0,33.0,0.009058468295360967,18.215,True
3643.0,22.0,0.005,3.0,0.01,22.0,66.0,66.0,0.018116936590721933,18.215,True
3643.0,22.0,0.005,10.0,0.01,22.0,220.0,220.0,0.06038978863573977,18.215,True
3643.0,22.0,0.02,1.0,0.03,22.0,22.0,66.0,0.018116936590721933,72.86,False
3643.0,22.0,0.02,1.5,0.02,22.0,33.0,66.0,0.018116936590721933,72.86,False
3643.0,22.0,0.02,3.0,0.01,22.0,66.0,66.0,0.018116936590721933,72.86,False
3643.0,22.0,0.02,10.0,0.01,22.0,220.0,220.0,0.06038978863573977,72.86,True
3643.0,22.0,0.05,1.0,0.08,22.0,22.0,176.0,0.04831183090859182,182.15,False
3643.0,22.0,0.05,1.5,0.05,22.0,33.0,165.0,0.04529234147680483,182.15,False
3643.0,22.0,0.05,3.0,0.02,22.0,66.0,132.0,0.03623387318144387,182.15,False
3643.0,22.0,0.05,10.0,0.01,22.0,220.0,220.0,0.06038978863573977,182.15,True
3643.0,60.0,0.005,1.0,0.01,60.0,60.0,60.0,0.016469942355201758,18.215,True
3643.0,60.0,0.005,1.5,0.01,60.0,90.0,90.0,0.024704913532802634,18.215,True
3643.0,60.0,0.005,3.0,0.01,60.0,180.0,180.0,0.04940982706560527,18.215,True
3643.0,60.0,0.005,10.0,0.01,60.0,600.0,600.0,0.16469942355201755,18.215,True
3643.0,60.0,0.02,1.0,0.01,60.0,60.0,60.0,0.016469942355201758,72.86,False
3643.0,60.0,0.02,1.5,0.01,60.0,90.0,90.0,0.024704913532802634,72.86,True
3643.0,60.0,0.02,3.0,0.01,60.0,180.0,180.0,0.04940982706560527,72.86,True
3643.0,60.0,0.02,10.0,0.01,60.0,600.0,600.0,0.16469942355201755,72.86,True
3643.0,60.0,0.05,1.0,0.03,60.0,60.0,180.0,0.04940982706560527,182.15,False
3643.0,60.0,0.05,1.5,0.02,60.0,90.0,180.0,0.04940982706560527,182.15,False
3643.0,60.0,0.05,3.0,0.01,60.0,180.0,180.0,0.04940982706560527,182.15,False
3643.0,60.0,0.05,10.0,0.01,60.0,600.0,600.0,0.16469942355201755,182.15,True
10000.0,0.001,0.005,1.0,0.1,0.1,0.1,1.0,0.0001,50.0,False
10000.0,0.001,0.005,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.00015000000000000001,50.0,False
10000.0,0.001,0.005,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.00030000000000000003,50.0,False
10000.0,0.001,0.005,10.0,0.1,0.1,1.0,10.0,0.001,50.0,False
10000.0,0.001,0.02,1.0,0.1,0.1,0.1,1.0,0.0001,200.0,False
10000.0,0.001,0.02,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.00015000000000000001,200.0,False
10000.0,0.001,0.02,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.00030000000000000003,200.0,False
10000.0,0.001,0.02,10.0,0.1,0.1,1.0,10.0,0.001,200.0,False
